Number,Season,Terrain,Species
S2860,Summer,Plain,Hipposideros cineraceus
S2861,Summer,Plain,Hipposideros cineraceus
S2862,Spring,Plain,Eptesicus serotinus
S2863,Spring,Plain,Eptesicus serotinus
S2864,Spring,Mesa,Eptesicus serotinus
S2865,Spring,Mesa,Eptesicus serotinus
S2866,Summer,Plain,Eptesicus serotinus
S2867,Summer,Plain,Eptesicus serotinus
S2868,Summer,Plain,Eptesicus serotinus
S2869,Summer,Plain,Eptesicus serotinus
S2870,Summer,Plain,Eptesicus serotinus
S2871,Summer,Plain,Eptesicus serotinus
S2872,Summer,Plain,Eptesicus serotinus
S2873,Spring,Plain,Eptesicus serotinus
S2874,Spring,Plain,Eptesicus serotinus
S2875,Spring,Plain,Eptesicus serotinus
S2876,Spring,Plain,Eptesicus serotinus
S2877,Spring,Plain,Eptesicus serotinus
S2878,Spring,Plain,Eptesicus serotinus
S2879,Spring,Plain,Eptesicus serotinus
S2880,Spring,Plain,Eptesicus serotinus
S2881,Spring,Plain,Eptesicus serotinus
S2882,Spring,Plain,Eptesicus serotinus
S2883,Spring,Plain,Eptesicus serotinus
S2884,Spring,Plain,Eptesicus serotinus
S2885,Spring,Plain,Eptesicus serotinus
S2886,Spring,Plain,Eptesicus serotinus
S2887,Spring,Plain,Eptesicus serotinus
S2888,Spring,Plain,Eptesicus serotinus
S2889,Spring,Plain,Eptesicus serotinus
S2890,Spring,Plain,Eptesicus serotinus
S2891,Spring,Plain,Eptesicus serotinus
S2892,Spring,Plain,Eptesicus serotinus
S2893,Spring,Plain,Eptesicus serotinus
S2894,Spring,Plain,Eptesicus serotinus
S2895,Spring,Plain,Eptesicus serotinus
S2896,Spring,Plain,Eptesicus serotinus
S2897,Spring,Plain,Eptesicus serotinus
S2898,Spring,Plain,Eptesicus serotinus
S2899,Spring,Plain,Eptesicus serotinus
S2900,Spring,Plain,Eptesicus serotinus
S2901,Spring,Plain,Eptesicus serotinus
S2902,Spring,Plain,Eptesicus serotinus
S2903,Spring,Plain,Eptesicus serotinus
S2904,Spring,Plain,Eptesicus serotinus
S2905,Spring,Plain,Eptesicus serotinus
S2906,Spring,Plain,Eptesicus serotinus
S2907,Spring,Plain,Eptesicus serotinus
S2908,Spring,Plain,Eptesicus serotinus
S2909,Spring,Plain,Eptesicus serotinus
S2910,Spring,Plain,Eptesicus serotinus
S2911,Spring,Plain,Eptesicus serotinus
S2912,Spring,Plain,Eptesicus serotinus
S2913,Spring,Plain,Eptesicus serotinus
S2914,Spring,Plain,Eptesicus serotinus
S2915,Spring,Plain,Eptesicus serotinus
S2916,Spring,Plain,Eptesicus serotinus
S2917,Spring,Plain,Eptesicus serotinus
S2918,Spring,Plain,Eptesicus serotinus
S2919,Spring,Plain,Eptesicus serotinus
S2920,Spring,Plain,Eptesicus serotinus
S2921,Spring,Plain,Eptesicus serotinus
S2922,Spring,Plain,Eptesicus serotinus
S2923,Spring,Plain,Eptesicus serotinus
S2924,Spring,Plain,Eptesicus serotinus
S2925,Spring,Plain,Eptesicus serotinus
S2926,Spring,Plain,Eptesicus serotinus
S2927,Spring,Plain,Eptesicus serotinus
S2928,Spring,Plain,Eptesicus serotinus
S2929,Spring,Plain,Eptesicus serotinus
S2930,Spring,Plain,Eptesicus serotinus
S2931,Spring,Plain,Eptesicus serotinus
S2932,Spring,Plain,Eptesicus serotinus
S2933,Spring,Plain,Eptesicus serotinus
S2934,Spring,Plain,Eptesicus serotinus
S2935,Spring,Plain,Eptesicus serotinus
S2936,Spring,Plain,Eptesicus serotinus
S2937,Summer,Plain,Eptesicus serotinus
S2938,Summer,Plain,Eptesicus serotinus
S2939,Summer,Plain,Eptesicus serotinus
S2940,Summer,Plain,Eptesicus serotinus
S2941,Summer,Plain,Eptesicus serotinus
S2942,Summer,Plain,Eptesicus serotinus
S2943,Summer,Plain,Eptesicus serotinus
S2944,Summer,Plain,Eptesicus serotinus
S2945,Summer,Plain,Eptesicus serotinus
S2946,Summer,Plain,Eptesicus serotinus
S2947,Summer,Plain,Eptesicus serotinus
S2948,Summer,Plain,Eptesicus serotinus
S2949,Summer,Plain,Eptesicus serotinus
S2950,Summer,Plain,Eptesicus serotinus
S2951,Summer,Plain,Eptesicus serotinus
S2952,Summer,Plain,Eptesicus serotinus
S2953,Summer,Plain,Eptesicus serotinus
S2954,Summer,Plain,Eptesicus serotinus
S2955,Summer,Plain,Eptesicus serotinus
S2956,Summer,Plain,Eptesicus serotinus
S2957,Summer,Plain,Eptesicus serotinus
S2958,Summer,Plain,Eptesicus serotinus
S2959,Summer,Plain,Eptesicus serotinus
S2960,Summer,Plain,Eptesicus serotinus
S2961,Summer,Plain,Eptesicus serotinus
S2962,Summer,Plain,Eptesicus serotinus
S2963,Summer,Plain,Eptesicus serotinus
S2964,Summer,Plain,Eptesicus serotinus
S2965,Summer,Plain,Eptesicus serotinus
S2966,Summer,Plain,Eptesicus serotinus
S2967,Summer,Plain,Eptesicus serotinus
S2968,Summer,Plain,Eptesicus serotinus
S2969,Summer,Plain,Pipistrellus abramus
S2970,Summer,Plain,Pipistrellus abramus
S2971,Summer,Plain,Pipistrellus abramus
S2972,Summer,Plain,Pipistrellus abramus
S2973,Summer,Plain,Pipistrellus abramus
S2974,Summer,Plain,Pipistrellus abramus
S2975,Summer,Plain,Pipistrellus abramus
S2976,Summer,Plain,Pipistrellus abramus
S2977,Summer,Plain,Pipistrellus abramus
S2978,Summer,Plain,Pipistrellus abramus
S2979,Summer,Plain,Pipistrellus abramus
S2980,Summer,Plain,Pipistrellus abramus
S2981,Summer,Plain,Pipistrellus abramus
S2982,Summer,Plain,Pipistrellus abramus
S2983,Summer,Plain,Pipistrellus abramus
S2984,Summer,Plain,Pipistrellus abramus
S2985,Summer,Plain,Pipistrellus abramus
S2986,Summer,Plain,Pipistrellus abramus
S2987,Summer,Plain,Pipistrellus abramus
S2988,Summer,Plain,Pipistrellus abramus
S2989,Summer,Plain,Pipistrellus abramus
S2990,Summer,Plain,Pipistrellus abramus
S2991,Summer,Plain,Pipistrellus abramus
S2992,Summer,Plain,Pipistrellus abramus
S2993,Summer,Plain,Pipistrellus abramus
S2994,Summer,Plain,Pipistrellus abramus
S2995,Summer,Plain,Pipistrellus abramus
S2996,Summer,Plain,Pipistrellus abramus
S2997,Summer,Plain,Pipistrellus abramus
S2998,Summer,Plain,Pipistrellus abramus
S2999,Summer,Plain,Pipistrellus abramus
S3000,Summer,Plain,Pipistrellus abramus
S3001,Summer,Plain,Pipistrellus abramus
S3002,Summer,Plain,Pipistrellus abramus
S3003,Summer,Plain,Pipistrellus abramus
S3004,Summer,Plain,Pipistrellus abramus
S3005,Summer,Plain,Pipistrellus abramus
S3006,Summer,Plain,Pipistrellus abramus
S3007,Summer,Plain,Pipistrellus abramus
S3008,Summer,Plain,Pipistrellus abramus
S3009,Summer,Plain,Pipistrellus abramus
S3010,Summer,Plain,Pipistrellus abramus
S3011,Summer,Plain,Pipistrellus abramus
S3012,Summer,Plain,Pipistrellus abramus
S3013,Summer,Plain,Pipistrellus abramus
S3014,Summer,Plain,Pipistrellus abramus
S3015,Summer,Plain,Pipistrellus abramus
S3016,Summer,Plain,Pipistrellus abramus
S3017,Summer,Plain,Pipistrellus abramus
S3018,Summer,Plain,Pipistrellus abramus
S3019,Summer,Plain,Pipistrellus abramus
S3020,Summer,Plain,Pipistrellus abramus
S3021,Summer,Plain,Pipistrellus abramus
S3022,Summer,Plain,Pipistrellus abramus
S3023,Summer,Plain,Pipistrellus abramus
S3024,Summer,Plain,Pipistrellus abramus
S3025,Summer,Plain,Pipistrellus abramus
S3026,Summer,Plain,Pipistrellus abramus
S3027,Summer,Plain,Pipistrellus abramus
S3028,Summer,Plain,Pipistrellus abramus
S3029,Summer,Plain,Pipistrellus abramus
S3030,Summer,Plain,Pipistrellus abramus
S3031,Summer,Plain,Pipistrellus abramus
S3032,Summer,Plain,Pipistrellus abramus
S3033,Summer,Plain,Pipistrellus abramus
S3034,Summer,Plain,Pipistrellus abramus
S3035,Summer,Plain,Pipistrellus abramus
S3036,Summer,Plain,Pipistrellus abramus
S3037,Summer,Plain,Pipistrellus abramus
S3038,Summer,Plain,Pipistrellus abramus
S3039,Summer,Plain,Pipistrellus abramus
S3040,Summer,Plain,Pipistrellus abramus
S3041,Summer,Plain,Pipistrellus abramus
S3042,Summer,Plain,Pipistrellus abramus
S3043,Summer,Plain,Pipistrellus abramus
S3044,Summer,Plain,Pipistrellus abramus
S3045,Summer,Plain,Pipistrellus abramus
S3046,Summer,Plain,Pipistrellus abramus
S3047,Summer,Plain,Pipistrellus abramus
S3048,Summer,Plain,Pipistrellus abramus
S3049,Summer,Plain,Pipistrellus abramus
S3050,Summer,Plain,Pipistrellus abramus
S3051,Summer,Plain,Pipistrellus abramus
S3052,Summer,Plain,Pipistrellus abramus
S3053,Summer,Plain,Pipistrellus abramus
S3054,Summer,Plain,Pipistrellus abramus
S3055,Summer,Plain,Pipistrellus abramus
S3056,Summer,Plain,Pipistrellus abramus
S3057,Summer,Plain,Pipistrellus abramus
S3058,Summer,Plain,Pipistrellus abramus
S3059,Summer,Plain,Pipistrellus abramus
S3060,Summer,Plain,Pipistrellus abramus
S3061,Summer,Plain,Pipistrellus abramus
S3062,Summer,Plain,Pipistrellus abramus
S3063,Summer,Plain,Pipistrellus abramus
S3064,Summer,Plain,Pipistrellus abramus
S3065,Summer,Plain,Pipistrellus abramus
S3066,Summer,Plain,Pipistrellus abramus
S3067,Summer,Plain,Pipistrellus abramus
S3068,Summer,Plain,Pipistrellus abramus
S3069,Summer,Plain,Pipistrellus abramus
S3070,Summer,Plain,Pipistrellus abramus
S3071,Summer,Plain,Pipistrellus abramus
S3072,Summer,Plain,Pipistrellus abramus
S3073,Summer,Plain,Pipistrellus abramus
S3074,Summer,Plain,Pipistrellus abramus
S3075,Summer,Plain,Pipistrellus abramus
S3076,Summer,Plain,Pipistrellus abramus
S3077,Summer,Plain,Pipistrellus abramus
S3078,Summer,Plain,Pipistrellus abramus
S3079,Summer,Plain,Pipistrellus abramus
S3080,Summer,Plain,Pipistrellus abramus
S3081,Summer,Plain,Pipistrellus abramus
S3082,Summer,Plain,Pipistrellus abramus
S3083,Summer,Plain,Pipistrellus abramus
S3084,Summer,Plain,Pipistrellus abramus
S3085,Summer,Plain,Pipistrellus abramus
S3086,Summer,Plain,Pipistrellus abramus
S3087,Summer,Plain,Pipistrellus abramus
S3088,Summer,Plain,Pipistrellus abramus
S3089,Summer,Plain,Pipistrellus abramus
S3090,Summer,Plain,Pipistrellus abramus
S3091,Summer,Plain,Pipistrellus abramus
S3092,Summer,Plain,Pipistrellus abramus
S3093,Summer,Plain,Pipistrellus abramus
S3094,Summer,Plain,Pipistrellus abramus
S3095,Summer,Plain,Pipistrellus abramus
S3096,Summer,Plain,Pipistrellus abramus
S3097,Summer,Plain,Pipistrellus abramus
S3098,Summer,Plain,Pipistrellus abramus
S3099,Summer,Plain,Pipistrellus abramus
S3100,Summer,Plain,Pipistrellus abramus
S3101,Summer,Plain,Pipistrellus abramus
S3102,Summer,Plain,Pipistrellus abramus
S3103,Summer,Plain,Pipistrellus abramus
S3104,Summer,Plain,Pipistrellus abramus
S3105,Summer,Plain,Pipistrellus abramus
S3106,Summer,Plain,Pipistrellus abramus
S3107,Summer,Plain,Pipistrellus abramus
S3108,Summer,Plain,Pipistrellus abramus
S3109,Summer,Plain,Pipistrellus abramus
S3110,Summer,Plain,Pipistrellus abramus
S3111,Summer,Plain,Pipistrellus abramus
S3112,Summer,Plain,Pipistrellus abramus
S3113,Summer,Plain,Pipistrellus abramus
S3114,Summer,Plain,Pipistrellus abramus
S3115,Summer,Plain,Pipistrellus abramus
S3116,Summer,Plain,Pipistrellus abramus
S3117,Summer,Plain,Pipistrellus abramus
S3118,Summer,Plain,Pipistrellus abramus
S3119,Summer,Plain,Pipistrellus abramus
S3120,Summer,Plain,Pipistrellus abramus
S3121,Summer,Plain,Pipistrellus abramus
S3122,Summer,Plain,Pipistrellus abramus
S3123,Summer,Plain,Pipistrellus abramus
S3124,Summer,Plain,Pipistrellus abramus
S3125,Summer,Plain,Pipistrellus abramus
S3126,Summer,Plain,Pipistrellus abramus
S3127,Summer,Plain,Pipistrellus abramus
S3128,Summer,Plain,Pipistrellus abramus
S3129,Summer,Plain,Pipistrellus abramus
S3130,Summer,Plain,Pipistrellus abramus
S3131,Summer,Plain,Pipistrellus abramus
S3132,Summer,Plain,Pipistrellus abramus
S3133,Summer,Plain,Pipistrellus abramus
S3134,Summer,Plain,Pipistrellus abramus
S3135,Summer,Plain,Pipistrellus abramus
S3136,Summer,Plain,Pipistrellus abramus
S3137,Summer,Plain,Pipistrellus abramus
S3138,Summer,Plain,Pipistrellus abramus
S3139,Summer,Plain,Pipistrellus abramus
S3140,Summer,Plain,Pipistrellus abramus
S3141,Summer,Plain,Pipistrellus abramus
S3142,Summer,Plain,Pipistrellus abramus
S3143,Summer,Plain,Pipistrellus abramus
S3144,Summer,Plain,Pipistrellus abramus
S3145,Summer,Plain,Pipistrellus abramus
S3146,Summer,Plain,Pipistrellus abramus
S3147,Summer,Plain,Pipistrellus abramus
S3148,Summer,Plain,Pipistrellus abramus
S3149,Summer,Plain,Pipistrellus abramus
S3150,Summer,Plain,Pipistrellus abramus
S3151,Summer,Plain,Pipistrellus abramus
S3152,Summer,Plain,Pipistrellus abramus
S3153,Summer,Plain,Pipistrellus abramus
S3154,Summer,Plain,Pipistrellus abramus
S3155,Summer,Plain,Pipistrellus abramus
S3156,Summer,Plain,Pipistrellus abramus
S3157,Summer,Mesa,Pipistrellus abramus
S3158,Summer,Mesa,Pipistrellus abramus
S3159,Summer,Mesa,Pipistrellus abramus
S3160,Summer,Mesa,Pipistrellus abramus
S3161,Summer,Mesa,Pipistrellus abramus
S3162,Summer,Mesa,Pipistrellus abramus
S3163,Summer,Mesa,Pipistrellus abramus
S3164,Summer,Mesa,Pipistrellus abramus
S3165,Summer,Mesa,Pipistrellus abramus
S3166,Summer,Mesa,Pipistrellus abramus
S3167,Summer,Mesa,Pipistrellus abramus
S3168,Summer,Mesa,Pipistrellus abramus
S3169,Summer,Mesa,Pipistrellus abramus
S3170,Summer,Mesa,Pipistrellus abramus
S3171,Summer,Mesa,Pipistrellus abramus
S3172,Summer,Mesa,Pipistrellus abramus
S3173,Summer,Mesa,Pipistrellus abramus
S3174,Summer,Mesa,Pipistrellus abramus
S3175,Summer,Mesa,Pipistrellus abramus
S3176,Summer,Mesa,Pipistrellus abramus
S3177,Summer,Mesa,Pipistrellus abramus
S3178,Summer,Mesa,Pipistrellus abramus
S3179,Summer,Mesa,Pipistrellus abramus
S3180,Summer,Mesa,Pipistrellus abramus
S3181,Summer,Mesa,Pipistrellus abramus
S3182,Summer,Mesa,Pipistrellus abramus
S3183,Summer,Mesa,Pipistrellus abramus
S3184,Summer,Mesa,Pipistrellus abramus
S3185,Summer,Mesa,Pipistrellus abramus
S3186,Summer,Mesa,Pipistrellus abramus
S3187,Summer,Mesa,Pipistrellus abramus
S3188,Summer,Mesa,Pipistrellus abramus
S3189,Summer,Mesa,Pipistrellus abramus
S3190,Summer,Mesa,Pipistrellus abramus
S3191,Summer,Mesa,Pipistrellus abramus
S3192,Summer,Mesa,Pipistrellus abramus
S3193,Summer,Mesa,Pipistrellus abramus
S3194,Summer,Mesa,Pipistrellus abramus
S3195,Summer,Mesa,Pipistrellus abramus
S3196,Summer,Mesa,Pipistrellus abramus
S3197,Summer,Mesa,Pipistrellus abramus
S3198,Summer,Mesa,Pipistrellus abramus
S3199,Summer,Mesa,Pipistrellus abramus
S3200,Summer,Plain,Pipistrellus abramus
S3201,Summer,Plain,Pipistrellus abramus
S3202,Summer,Plain,Pipistrellus abramus
S3203,Summer,Plain,Pipistrellus abramus
S3204,Summer,Plain,Pipistrellus abramus
S3205,Summer,Plain,Pipistrellus abramus
S3206,Summer,Plain,Pipistrellus abramus
S3207,Summer,Plain,Pipistrellus abramus
S3208,Summer,Plain,Pipistrellus abramus
S3209,Summer,Plain,Pipistrellus abramus
S3210,Summer,Plain,Pipistrellus abramus
S3211,Summer,Plain,Pipistrellus abramus
S3212,Summer,Plain,Pipistrellus abramus
S3213,Summer,Plain,Pipistrellus abramus
S3214,Summer,Plain,Pipistrellus abramus
S3215,Summer,Plain,Pipistrellus abramus
S3216,Summer,Plain,Pipistrellus abramus
S3217,Summer,Plain,Pipistrellus abramus
S3218,Summer,Plain,Pipistrellus abramus
S3219,Summer,Plain,Pipistrellus abramus
S3220,Summer,Plain,Pipistrellus abramus
S3221,Summer,Plain,Pipistrellus abramus
S3222,Summer,Plain,Pipistrellus abramus
S3223,Summer,Plain,Pipistrellus abramus
S3224,Summer,Plain,Pipistrellus abramus
S3225,Summer,Plain,Pipistrellus abramus
S3226,Summer,Plain,Pipistrellus abramus
S3227,Summer,Plain,Pipistrellus abramus
S3228,Summer,Plain,Pipistrellus abramus
S3229,Summer,Plain,Pipistrellus abramus
S3230,Summer,Plain,Pipistrellus abramus
S3231,Summer,Plain,Pipistrellus abramus
S3232,Summer,Plain,Pipistrellus abramus
S3233,Summer,Plain,Pipistrellus abramus
S3234,Summer,Plain,Pipistrellus abramus
S3235,Summer,Plain,Pipistrellus abramus
S3236,Summer,Plain,Pipistrellus abramus
S3237,Summer,Plain,Pipistrellus abramus
S3238,Summer,Plain,Pipistrellus abramus
S3239,Summer,Plain,Pipistrellus abramus
S3240,Summer,Plain,Pipistrellus abramus
S3241,Summer,Plain,Pipistrellus abramus
S3242,Summer,Plain,Pipistrellus abramus
S3243,Summer,Plain,Pipistrellus abramus
S3244,Summer,Plain,Pipistrellus abramus
S3245,Summer,Plain,Pipistrellus abramus
S3246,Summer,Plain,Pipistrellus abramus
S3247,Summer,Plain,Pipistrellus abramus
S3248,Summer,Plain,Pipistrellus abramus
S3249,Summer,Plain,Pipistrellus abramus
S3250,Summer,Plain,Pipistrellus abramus
S3251,Summer,Plain,Pipistrellus abramus
S3252,Summer,Plain,Pipistrellus abramus
S3253,Summer,Plain,Pipistrellus abramus
S3254,Summer,Plain,Pipistrellus abramus
S3255,Summer,Plain,Pipistrellus abramus
S3256,Summer,Plain,Pipistrellus abramus
S3257,Summer,Plain,Pipistrellus abramus
S3258,Summer,Plain,Pipistrellus abramus
S3259,Summer,Plain,Pipistrellus abramus
S3260,Summer,Plain,Pipistrellus abramus
S3261,Summer,Plain,Pipistrellus abramus
S3262,Summer,Plain,Pipistrellus abramus
S3263,Summer,Plain,Pipistrellus abramus
S3264,Summer,Plain,Pipistrellus abramus
S3265,Summer,Plain,Pipistrellus abramus
S3266,Summer,Plain,Pipistrellus abramus
S3267,Summer,Plain,Pipistrellus abramus
S3268,Summer,Plain,Pipistrellus abramus
S3269,Summer,Plain,Pipistrellus abramus
S3270,Summer,Plain,Pipistrellus abramus
S3271,Summer,Plain,Pipistrellus abramus
S3272,Summer,Plain,Pipistrellus abramus
S3273,Summer,Plain,Pipistrellus abramus
S3274,Summer,Plain,Pipistrellus abramus
S3275,Summer,Plain,Pipistrellus abramus
S3276,Summer,Plain,Pipistrellus abramus
S3277,Summer,Plain,Pipistrellus abramus
S3278,Summer,Plain,Pipistrellus abramus
S3279,Summer,Plain,Pipistrellus abramus
S3280,Summer,Plain,Pipistrellus abramus
S3281,Summer,Plain,Pipistrellus abramus
S3282,Summer,Plain,Pipistrellus abramus
S3283,Summer,Plain,Pipistrellus abramus
S3284,Summer,Plain,Pipistrellus abramus
S3285,Summer,Plain,Pipistrellus abramus
S3286,Summer,Plain,Pipistrellus abramus
S3287,Summer,Plain,Pipistrellus abramus
S3288,Summer,Plain,Pipistrellus abramus
S3289,Summer,Plain,Pipistrellus abramus
S3290,Summer,Plain,Pipistrellus abramus
S3291,Summer,Plain,Pipistrellus abramus
S3292,Summer,Plain,Pipistrellus abramus
S3293,Summer,Plain,Pipistrellus abramus
S3294,Summer,Plain,Pipistrellus abramus
S3295,Summer,Plain,Pipistrellus abramus
S3296,Summer,Plain,Pipistrellus abramus
S3297,Summer,Plain,Pipistrellus abramus
S3298,Summer,Plain,Pipistrellus abramus
S3299,Summer,Plain,Pipistrellus abramus
S3300,Summer,Plain,Pipistrellus abramus
S3301,Summer,Plain,Pipistrellus abramus
S3302,Summer,Plain,Pipistrellus abramus
S3303,Summer,Plain,Pipistrellus abramus
S3304,Summer,Plain,Pipistrellus abramus
S3305,Summer,Plain,Pipistrellus abramus
S3306,Summer,Plain,Pipistrellus abramus
S3307,Summer,Plain,Pipistrellus abramus
S3308,Summer,Plain,Pipistrellus abramus
S3309,Summer,Plain,Pipistrellus abramus
S3310,Summer,Plain,Pipistrellus abramus
S3311,Summer,Plain,Pipistrellus abramus
S3312,Summer,Plain,Pipistrellus abramus
S3313,Summer,Plain,Pipistrellus abramus
S3314,Summer,Plain,Pipistrellus abramus
S3315,Summer,Plain,Pipistrellus abramus
S3316,Summer,Plain,Pipistrellus abramus
S3317,Summer,Plain,Pipistrellus abramus
S3318,Summer,Plain,Pipistrellus abramus
S3319,Summer,Plain,Pipistrellus abramus
S3320,Summer,Plain,Pipistrellus abramus
S3321,Summer,Plain,Pipistrellus abramus
S3322,Summer,Plain,Pipistrellus abramus
S3323,Summer,Plain,Pipistrellus abramus
S3324,Summer,Plain,Pipistrellus abramus
S3325,Summer,Plain,Pipistrellus abramus
S3326,Summer,Plain,Pipistrellus abramus
S3327,Summer,Plain,Pipistrellus abramus
S3328,Summer,Plain,Pipistrellus abramus
S3329,Summer,Plain,Pipistrellus abramus
S3330,Summer,Plain,Pipistrellus abramus
S3331,Summer,Plain,Pipistrellus abramus
S3332,Summer,Plain,Pipistrellus abramus
S3333,Summer,Plain,Pipistrellus abramus
S3334,Summer,Plain,Pipistrellus abramus
S3335,Summer,Plain,Pipistrellus abramus
S3336,Summer,Plain,Pipistrellus abramus
S3337,Summer,Plain,Pipistrellus abramus
S3338,Summer,Plain,Pipistrellus abramus
S3339,Summer,Plain,Pipistrellus abramus
S3340,Summer,Plain,Pipistrellus abramus
S3341,Summer,Plain,Pipistrellus abramus
S3342,Summer,Plain,Pipistrellus abramus
S3343,Summer,Plain,Pipistrellus abramus
S3344,Summer,Plain,Pipistrellus abramus
S3345,Summer,Plain,Pipistrellus abramus
S3346,Summer,Plain,Pipistrellus abramus
S3347,Summer,Plain,Pipistrellus abramus
S3348,Summer,Plain,Pipistrellus abramus
S3349,Summer,Plain,Pipistrellus abramus
S3350,Summer,Plain,Pipistrellus abramus
S3351,Summer,Plain,Pipistrellus abramus
S3352,Summer,Plain,Pipistrellus abramus
S3353,Summer,Plain,Pipistrellus abramus
S3354,Summer,Plain,Pipistrellus abramus
S3355,Summer,Plain,Pipistrellus abramus
S3356,Summer,Plain,Pipistrellus abramus
S3357,Summer,Plain,Pipistrellus abramus
S3358,Summer,Plain,Pipistrellus abramus
S3359,Summer,Plain,Pipistrellus abramus
S3360,Summer,Plain,Pipistrellus abramus
S3361,Summer,Plain,Pipistrellus abramus
S3362,Summer,Plain,Pipistrellus abramus
S3363,Summer,Plain,Pipistrellus abramus
S3364,Summer,Plain,Pipistrellus abramus
S3365,Summer,Plain,Pipistrellus abramus
S3366,Summer,Plain,Pipistrellus abramus
S3367,Summer,Plain,Pipistrellus abramus
S3368,Summer,Plain,Pipistrellus abramus
S3369,Summer,Plain,Pipistrellus abramus
S3370,Summer,Plain,Pipistrellus abramus
S3371,Summer,Plain,Pipistrellus abramus
S3372,Summer,Plain,Pipistrellus abramus
S3373,Summer,Plain,Pipistrellus abramus
S3374,Summer,Plain,Pipistrellus abramus
S3375,Summer,Plain,Pipistrellus abramus
S3376,Summer,Plain,Pipistrellus abramus
S3377,Summer,Plain,Pipistrellus abramus
S3378,Summer,Plain,Pipistrellus abramus
S3379,Summer,Plain,Pipistrellus abramus
S3380,Summer,Plain,Pipistrellus abramus
S3381,Summer,Plain,Pipistrellus abramus
S3382,Summer,Plain,Pipistrellus abramus
S3383,Summer,Plain,Pipistrellus abramus
S3384,Summer,Plain,Pipistrellus abramus
S3385,Summer,Plain,Pipistrellus abramus
S3386,Summer,Plain,Pipistrellus abramus
S3387,Summer,Plain,Pipistrellus abramus
S3388,Summer,Plain,Pipistrellus abramus
S3389,Summer,Plain,Pipistrellus abramus
S3390,Summer,Plain,Pipistrellus abramus
S3391,Summer,Plain,Pipistrellus abramus
S3392,Summer,Plain,Pipistrellus abramus
S3393,Summer,Plain,Pipistrellus abramus
S3394,Summer,Plain,Pipistrellus abramus
S3395,Summer,Plain,Pipistrellus abramus
S3396,Summer,Plain,Pipistrellus abramus
S3397,Summer,Plain,Pipistrellus abramus
S3398,Summer,Plain,Pipistrellus abramus
S3399,Summer,Plain,Pipistrellus abramus
S3400,Summer,Plain,Pipistrellus abramus
S3401,Summer,Plain,Pipistrellus abramus
S3402,Summer,Plain,Pipistrellus abramus
S3403,Summer,Plain,Pipistrellus abramus
S3404,Summer,Plain,Pipistrellus abramus
S3405,Summer,Plain,Pipistrellus abramus
S3406,Summer,Plain,Pipistrellus abramus
S3407,Summer,Plain,Pipistrellus abramus
S3408,Summer,Plain,Pipistrellus abramus
S3409,Summer,Plain,Pipistrellus abramus
S3410,Summer,Plain,Pipistrellus abramus
S3411,Summer,Plain,Pipistrellus abramus
S3412,Summer,Plain,Pipistrellus abramus
S3413,Summer,Plain,Pipistrellus abramus
S3414,Summer,Plain,Pipistrellus abramus
S3415,Summer,Plain,Pipistrellus abramus
S3416,Summer,Plain,Pipistrellus abramus
S3417,Summer,Plain,Pipistrellus abramus
S3418,Summer,Plain,Pipistrellus abramus
S3419,Summer,Plain,Pipistrellus abramus
S3420,Summer,Plain,Pipistrellus abramus
S3421,Summer,Plain,Pipistrellus abramus
S3422,Summer,Plain,Pipistrellus abramus
S3423,Summer,Plain,Pipistrellus abramus
S3424,Summer,Plain,Pipistrellus abramus
S3425,Summer,Plain,Pipistrellus abramus
S3426,Summer,Plain,Pipistrellus abramus
S3427,Summer,Plain,Pipistrellus abramus
S3428,Summer,Plain,Pipistrellus abramus
S3429,Summer,Plain,Pipistrellus abramus
S3430,Summer,Plain,Pipistrellus abramus
S3431,Summer,Plain,Pipistrellus abramus
S3432,Summer,Plain,Pipistrellus abramus
S3433,Summer,Plain,Pipistrellus abramus
S3434,Summer,Plain,Pipistrellus abramus
S3435,Summer,Plain,Pipistrellus abramus
S3436,Summer,Plain,Pipistrellus abramus
S3437,Summer,Plain,Pipistrellus abramus
S3438,Summer,Plain,Pipistrellus abramus
S3439,Summer,Plain,Pipistrellus abramus
S3440,Summer,Plain,Pipistrellus abramus
S3441,Summer,Plain,Pipistrellus abramus
S3442,Summer,Plain,Pipistrellus abramus
S3443,Summer,Plain,Pipistrellus abramus
S3444,Summer,Plain,Pipistrellus abramus
S3445,Summer,Plain,Pipistrellus abramus
S3446,Summer,Plain,Pipistrellus abramus
S3447,Summer,Plain,Pipistrellus abramus
S3448,Summer,Plain,Pipistrellus abramus
S3449,Summer,Plain,Pipistrellus abramus
S3450,Summer,Plain,Pipistrellus abramus
S3451,Summer,Plain,Pipistrellus abramus
S3452,Summer,Plain,Pipistrellus abramus
S3453,Summer,Plain,Pipistrellus abramus
S3454,Summer,Plain,Pipistrellus abramus
S3455,Summer,Plain,Pipistrellus abramus
S3456,Summer,Plain,Pipistrellus abramus
S3457,Summer,Plain,Pipistrellus abramus
S3458,Summer,Plain,Pipistrellus abramus
S3459,Summer,Plain,Pipistrellus abramus
S3460,Summer,Plain,Pipistrellus abramus
S3461,Summer,Plain,Pipistrellus abramus
S3462,Summer,Plain,Pipistrellus abramus
S3463,Summer,Plain,Pipistrellus abramus
S3464,Summer,Plain,Pipistrellus abramus
S3465,Summer,Plain,Pipistrellus abramus
