Number,Season,Terrain,Species
S235,Summer,Plain,Rhinolophus pusillus
S236,Summer,Plain,Rhinolophus pusillus
S237,Summer,Plain,Rhinolophus pusillus
S238,Summer,Plain,Rhinolophus pusillus
S239,Summer,Plain,Rhinolophus pusillus
S240,Summer,Plain,Rhinolophus pusillus
S241,Summer,Plain,Rhinolophus pusillus
S242,Summer,Plain,Rhinolophus pusillus
S243,Summer,Plain,Rhinolophus pusillus
S244,Summer,Plain,Rhinolophus pusillus
S245,Summer,Plain,Rhinolophus pusillus
S246,Summer,Plain,Rhinolophus pusillus
S247,Summer,Plain,Rhinolophus pusillus
S248,Summer,Plain,Rhinolophus pusillus
S249,Summer,Plain,Rhinolophus pusillus
S250,Summer,Plain,Rhinolophus pusillus
S251,Summer,Plain,Rhinolophus pusillus
S252,Summer,Plain,Rhinolophus pusillus
S253,Summer,Plain,Rhinolophus pusillus
S254,Summer,Plain,Rhinolophus pusillus
S255,Summer,Plain,Rhinolophus pusillus
S256,Summer,Plain,Rhinolophus pusillus
S257,Summer,Plain,Rhinolophus pusillus
S258,Summer,Plain,Rhinolophus pusillus
S259,Summer,Plain,Rhinolophus pusillus
S260,Summer,Plain,Rhinolophus pusillus
S261,Summer,Plain,Rhinolophus pusillus
S262,Summer,Plain,Rhinolophus pusillus
S263,Summer,Plain,Rhinolophus pusillus
S264,Summer,Plain,Rhinolophus pusillus
S265,Summer,Plain,Rhinolophus pusillus
S266,Summer,Plain,Rhinolophus pusillus
S267,Summer,Plain,Rhinolophus pusillus
S268,Summer,Plain,Rhinolophus pusillus
S269,Summer,Plain,Rhinolophus pusillus
S270,Summer,Plain,Rhinolophus pusillus
S271,Summer,Plain,Rhinolophus pusillus
S272,Summer,Plain,Rhinolophus pusillus
S273,Summer,Plain,Rhinolophus pusillus
S274,Summer,Plain,Rhinolophus pusillus
S275,Summer,Mountain,Rhinolophus pusillus
S276,Summer,Mountain,Rhinolophus pusillus
S277,Summer,Mountain,Rhinolophus pusillus
S278,Summer,Mountain,Rhinolophus pusillus
S279,Summer,Mountain,Rhinolophus pusillus
S280,Summer,Mountain,Rhinolophus pusillus
S281,Summer,Mountain,Rhinolophus pusillus
S282,Summer,Mountain,Rhinolophus pusillus
S283,Summer,Mountain,Rhinolophus pusillus
S284,Summer,Mountain,Rhinolophus pusillus
S285,Summer,Mountain,Rhinolophus pusillus
S286,Summer,Mountain,Rhinolophus pusillus
S287,Summer,Mountain,Rhinolophus pusillus
S288,Summer,Mountain,Rhinolophus pusillus
S289,Summer,Mountain,Rhinolophus pusillus
S290,Summer,Mountain,Rhinolophus pusillus
S291,Summer,Mountain,Rhinolophus pusillus
S292,Summer,Mountain,Rhinolophus pusillus
S293,Summer,Mountain,Rhinolophus pusillus
S294,Summer,Mountain,Rhinolophus pusillus
S295,Summer,Mountain,Rhinolophus pusillus
S296,Summer,Mountain,Rhinolophus pusillus
S297,Summer,Mountain,Hipposideros larvatus
S298,Summer,Mountain,Hipposideros larvatus
S299,Summer,Mountain,Hipposideros larvatus
S300,Summer,Mountain,Hipposideros larvatus
S301,Summer,Mountain,Hipposideros larvatus
S302,Summer,Mountain,Hipposideros larvatus
S303,Summer,Mountain,Hipposideros larvatus
S304,Summer,Mountain,Hipposideros larvatus
S305,Summer,Mountain,Hipposideros larvatus
S306,Summer,Mountain,Hipposideros larvatus
S307,Summer,Mountain,Hipposideros larvatus
S308,Summer,Mountain,Hipposideros larvatus
S309,Summer,Mountain,Hipposideros larvatus
S310,Summer,Mountain,Hipposideros larvatus
S311,Summer,Mesa,Rhinolophus pusillus
S312,Summer,Mesa,Rhinolophus pusillus
S313,Summer,Mesa,Rhinolophus pusillus
S314,Summer,Mesa,Rhinolophus pusillus
S315,Summer,Mesa,Rhinolophus pusillus
S316,Autumn,Mesa,Rhinolophus pusillus
S317,Autumn,Mesa,Rhinolophus pusillus
S318,Autumn,Mesa,Rhinolophus pusillus
S319,Autumn,Mesa,Rhinolophus pusillus
S320,Autumn,Mesa,Rhinolophus pusillus
S321,Autumn,Mesa,Rhinolophus pusillus
S322,Summer,Mesa,Pipistrellus abramus
S323,Summer,Mesa,Pipistrellus abramus
S324,Summer,Mesa,Pipistrellus abramus
S325,Autumn,Mesa,Pipistrellus abramus
S326,Autumn,Mesa,Pipistrellus abramus
S327,Autumn,Mesa,Pipistrellus abramus
S328,Autumn,Mesa,Pipistrellus abramus
S329,Autumn,Mesa,Pipistrellus abramus
S330,Autumn,Mesa,Pipistrellus abramus
S331,Autumn,Mesa,Pipistrellus abramus
S332,Autumn,Mesa,Pipistrellus abramus
S333,Autumn,Mesa,Pipistrellus abramus
S334,Autumn,Mesa,Pipistrellus abramus
S335,Autumn,Mesa,Pipistrellus abramus
S336,Autumn,Mesa,Pipistrellus abramus
S337,Autumn,Mesa,Pipistrellus abramus
S338,Autumn,Mesa,Pipistrellus abramus
S339,Autumn,Mesa,Pipistrellus abramus
S340,Autumn,Mesa,Pipistrellus abramus
S341,Autumn,Mesa,Pipistrellus abramus
S342,Autumn,Mesa,Pipistrellus abramus
S343,Autumn,Mesa,Pipistrellus abramus
S344,Autumn,Mesa,Pipistrellus abramus
S345,Autumn,Mesa,Pipistrellus abramus
S346,Autumn,Mesa,Pipistrellus abramus
S347,Autumn,Mesa,Pipistrellus abramus
S348,Autumn,Mesa,Pipistrellus abramus
S349,Autumn,Mesa,Pipistrellus abramus
S350,Autumn,Mesa,Pipistrellus abramus
S351,Autumn,Mesa,Pipistrellus abramus
S352,Autumn,Mesa,Pipistrellus abramus
S353,Autumn,Mesa,Pipistrellus abramus
S354,Autumn,Mesa,Pipistrellus abramus
S355,Autumn,Mesa,Pipistrellus abramus
S356,Autumn,Mesa,Pipistrellus abramus
S357,Autumn,Mesa,Pipistrellus abramus
S358,Autumn,Mesa,Pipistrellus abramus
S359,Autumn,Mesa,Pipistrellus abramus
S360,Autumn,Mesa,Pipistrellus abramus
S361,Autumn,Mesa,Pipistrellus abramus
S362,Autumn,Mesa,Pipistrellus abramus
S363,Autumn,Mesa,Pipistrellus abramus
S364,Autumn,Mesa,Pipistrellus abramus
S365,Autumn,Mesa,Pipistrellus abramus
S366,Autumn,Mesa,Pipistrellus abramus
S367,Autumn,Mesa,Pipistrellus abramus
S368,Autumn,Mesa,Pipistrellus abramus
S369,Autumn,Plain,Pipistrellus abramus
S370,Autumn,Plain,Pipistrellus abramus
S371,Autumn,Mesa,Pipistrellus abramus
S372,Autumn,Plain,Pipistrellus abramus
S373,Autumn,Plain,Pipistrellus abramus
S374,Autumn,Plain,Pipistrellus abramus
S375,Autumn,Plain,Pipistrellus abramus
S376,Autumn,Plain,Pipistrellus abramus
S377,Autumn,Plain,Pipistrellus abramus
S378,Autumn,Plain,Pipistrellus abramus
S379,Autumn,Plain,Pipistrellus abramus
S380,Autumn,Plain,Pipistrellus abramus
S381,Autumn,Plain,Pipistrellus abramus
S382,Autumn,Plain,Pipistrellus abramus
S383,Autumn,Plain,Pipistrellus abramus
S384,Autumn,Plain,Pipistrellus abramus
S385,Autumn,Plain,Pipistrellus abramus
S386,Autumn,Plain,Pipistrellus abramus
S387,Autumn,Plain,Pipistrellus abramus
S388,Autumn,Plain,Pipistrellus abramus
S389,Autumn,Plain,Pipistrellus abramus
S390,Autumn,Plain,Pipistrellus abramus
S391,Autumn,Plain,Pipistrellus abramus
S392,Autumn,Plain,Pipistrellus abramus
S393,Autumn,Plain,Pipistrellus abramus
S394,Autumn,Plain,Pipistrellus abramus
S395,Autumn,Plain,Pipistrellus abramus
S396,Autumn,Plain,Pipistrellus abramus
S397,Autumn,Mesa,Pipistrellus abramus
S398,Autumn,Mesa,Pipistrellus abramus
S399,Autumn,Mesa,Pipistrellus abramus
S400,Autumn,Mesa,Pipistrellus abramus
S401,Autumn,Mesa,Pipistrellus abramus
S402,Autumn,Plain,Pipistrellus abramus
S403,Autumn,Plain,Pipistrellus abramus
S404,Autumn,Plain,Pipistrellus abramus
S405,Autumn,Plain,Pipistrellus abramus
S406,Autumn,Plain,Pipistrellus abramus
S407,Autumn,Plain,Pipistrellus abramus
S408,Autumn,Plain,Pipistrellus abramus
S409,Autumn,Plain,Pipistrellus abramus
S410,Autumn,Mountain,Pipistrellus abramus
S411,Autumn,Mountain,Pipistrellus abramus
S412,Autumn,Mountain,Pipistrellus abramus
S413,Autumn,Mountain,Pipistrellus abramus
S414,Autumn,Mesa,Pipistrellus abramus
S415,Autumn,Plain,Rhinolophus pusillus
S416,Autumn,Plain,Rhinolophus pusillus
S417,Autumn,Plain,Rhinolophus pusillus
S418,Autumn,Plain,Rhinolophus pusillus
S419,Autumn,Plain,Rhinolophus pusillus
S420,Autumn,Plain,Rhinolophus pusillus
S421,Autumn,Plain,Rhinolophus pusillus
S422,Autumn,Plain,Rhinolophus pusillus
S423,Autumn,Plain,Rhinolophus pusillus
S424,Autumn,Plain,Rhinolophus pusillus
S425,Autumn,Plain,Rhinolophus pusillus
S426,Autumn,Plain,Rhinolophus pusillus
S427,Autumn,Plain,Rhinolophus pusillus
S428,Autumn,Plain,Rhinolophus pusillus
S429,Autumn,Plain,Rhinolophus pusillus
S430,Autumn,Plain,Rhinolophus pusillus
S431,Autumn,Plain,Rhinolophus pusillus
S432,Autumn,Plain,Rhinolophus pusillus
S433,Autumn,Plain,Rhinolophus pusillus
S434,Autumn,Plain,Pipistrellus abramus
S435,Autumn,Plain,Pipistrellus abramus
S436,Autumn,Plain,Pipistrellus abramus
S437,Autumn,Plain,Pipistrellus abramus
S438,Autumn,Plain,Pipistrellus abramus
S439,Autumn,Plain,Pipistrellus abramus
S440,Autumn,Plain,Pipistrellus abramus
S441,Autumn,Plain,Pipistrellus abramus
S442,Autumn,Plain,Pipistrellus abramus
S443,Autumn,Plain,Pipistrellus abramus
S444,Autumn,Plain,Pipistrellus abramus
S445,Autumn,Plain,Pipistrellus abramus
S446,Autumn,Plain,Pipistrellus abramus
S447,Autumn,Plain,Pipistrellus abramus
S448,Autumn,Plain,Pipistrellus abramus
S449,Autumn,Plain,Pipistrellus abramus
S450,Autumn,Plain,Pipistrellus abramus
S451,Autumn,Plain,Pipistrellus abramus
S452,Autumn,Plain,Pipistrellus abramus
S453,Autumn,Plain,Pipistrellus abramus
S454,Autumn,Plain,Pipistrellus abramus
S455,Autumn,Plain,Pipistrellus abramus
S456,Autumn,Plain,Pipistrellus abramus
S457,Autumn,Plain,Pipistrellus abramus
S458,Autumn,Plain,Pipistrellus abramus
S459,Autumn,Plain,Pipistrellus abramus
S460,Autumn,Plain,Pipistrellus abramus
S461,Autumn,Plain,Pipistrellus abramus
S462,Autumn,Plain,Pipistrellus abramus
S463,Autumn,Plain,Pipistrellus abramus
S464,Autumn,Plain,Pipistrellus abramus
S465,Autumn,Plain,Pipistrellus abramus
S466,Autumn,Plain,Pipistrellus abramus
S467,Autumn,Plain,Pipistrellus abramus
S468,Autumn,Plain,Pipistrellus abramus
S469,Autumn,Plain,Pipistrellus abramus
S470,Autumn,Plain,Pipistrellus abramus
S471,Autumn,Plain,Pipistrellus abramus
S472,Autumn,Plain,Pipistrellus abramus
S473,Autumn,Plain,Pipistrellus abramus
S474,Autumn,Mountain,Pipistrellus abramus
S475,Autumn,Mountain,Pipistrellus abramus
S476,Autumn,Mountain,Pipistrellus abramus
S477,Autumn,Mountain,Pipistrellus abramus
S478,Autumn,Mountain,Pipistrellus abramus
S479,Autumn,Mountain,Pipistrellus abramus
S480,Autumn,Mountain,Pipistrellus abramus
S481,Autumn,Mountain,Pipistrellus abramus
S482,Autumn,Mountain,Pipistrellus abramus
S483,Autumn,Mountain,Pipistrellus abramus
S484,Autumn,Mountain,Pipistrellus abramus
S485,Autumn,Mountain,Pipistrellus abramus
S486,Autumn,Mountain,Pipistrellus abramus
S487,Autumn,Mountain,Pipistrellus abramus
S488,Autumn,Mountain,Pipistrellus abramus
S489,Autumn,Mountain,Pipistrellus abramus
S490,Autumn,Mountain,Pipistrellus abramus
S491,Autumn,Mountain,Pipistrellus abramus
S492,Autumn,Mountain,Pipistrellus abramus
S493,Autumn,Mountain,Pipistrellus abramus
S494,Autumn,Mountain,Pipistrellus abramus
S495,Autumn,Mountain,Pipistrellus abramus
S496,Autumn,Mountain,Pipistrellus abramus
S497,Autumn,Mountain,Pipistrellus abramus
S498,Autumn,Mountain,Pipistrellus abramus
S499,Autumn,Mountain,Pipistrellus abramus
S500,Autumn,Mountain,Pipistrellus abramus
S501,Autumn,Mountain,Pipistrellus abramus
S502,Autumn,Mountain,Pipistrellus abramus
S503,Autumn,Mountain,Pipistrellus abramus
S504,Autumn,Mountain,Pipistrellus abramus
S505,Autumn,Mountain,Pipistrellus abramus
S506,Autumn,Mountain,Pipistrellus abramus
S507,Autumn,Mountain,Pipistrellus abramus
S508,Autumn,Mountain,Pipistrellus abramus
S509,Autumn,Mountain,Pipistrellus abramus
S510,Autumn,Mountain,Pipistrellus abramus
S511,Autumn,Mountain,Pipistrellus abramus
S512,Autumn,Mesa,Pipistrellus abramus
S513,Autumn,Mountain,Pipistrellus abramus
S514,Autumn,Mountain,Pipistrellus abramus
S515,Autumn,Mountain,Pipistrellus abramus
S516,Autumn,Mountain,Pipistrellus abramus
S517,Autumn,Mountain,Pipistrellus abramus
S518,Autumn,Mountain,Pipistrellus abramus
S519,Autumn,Mountain,Pipistrellus abramus
S520,Autumn,Mountain,Pipistrellus abramus
S521,Autumn,Mountain,Pipistrellus abramus
S522,Autumn,Mountain,Pipistrellus abramus
S523,Autumn,Mountain,Pipistrellus abramus
S524,Autumn,Mountain,Pipistrellus abramus
S525,Autumn,Mountain,Pipistrellus abramus
S526,Autumn,Mountain,Pipistrellus abramus
S527,Autumn,Mountain,Pipistrellus abramus
S528,Autumn,Mountain,Pipistrellus abramus
S529,Autumn,Mountain,Pipistrellus abramus
S530,Autumn,Mountain,Pipistrellus abramus
S531,Autumn,Mountain,Pipistrellus abramus
S532,Autumn,Mountain,Pipistrellus abramus
S533,Autumn,Mountain,Pipistrellus abramus
S534,Autumn,Mountain,Pipistrellus abramus
S535,Autumn,Mountain,Pipistrellus abramus
S536,Autumn,Mountain,Pipistrellus abramus
S537,Autumn,Mesa,Pipistrellus abramus
S538,Autumn,Mesa,Pipistrellus abramus
S539,Autumn,Mesa,Pipistrellus abramus
S540,Autumn,Mesa,Pipistrellus abramus
S541,Autumn,Mesa,Pipistrellus abramus
S542,Autumn,Mesa,Pipistrellus abramus
S543,Autumn,Mesa,Pipistrellus abramus
S544,Autumn,Mesa,Pipistrellus abramus
S545,Autumn,Mesa,Pipistrellus abramus
S546,Autumn,Mesa,Pipistrellus abramus
S547,Autumn,Mesa,Pipistrellus abramus
S548,Autumn,Mesa,Pipistrellus abramus
S549,Autumn,Mesa,Pipistrellus abramus
S550,Autumn,Mesa,Pipistrellus abramus
S551,Autumn,Mesa,Pipistrellus abramus
S552,Autumn,Mesa,Pipistrellus abramus
S553,Autumn,Mesa,Pipistrellus abramus
S554,Autumn,Mesa,Pipistrellus abramus
S555,Autumn,Mesa,Pipistrellus abramus
S556,Autumn,Mesa,Pipistrellus abramus
S557,Autumn,Mesa,Pipistrellus abramus
S558,Autumn,Mesa,Pipistrellus abramus
S559,Autumn,Mesa,Pipistrellus abramus
S560,Autumn,Mesa,Pipistrellus abramus
S561,Autumn,Mesa,Pipistrellus abramus
S562,Autumn,Mesa,Pipistrellus abramus
S563,Autumn,Mesa,Pipistrellus abramus
S564,Autumn,Mesa,Pipistrellus abramus
S565,Autumn,Mesa,Pipistrellus abramus
S566,Autumn,Mesa,Rhinolophus sinicus
S567,Autumn,Mesa,Rhinolophus sinicus
S568,Autumn,Mesa,Rhinolophus sinicus
S569,Autumn,Mesa,Rhinolophus sinicus
S570,Autumn,Mesa,Rhinolophus sinicus
S571,Autumn,Mesa,Rhinolophus sinicus
S572,Autumn,Mesa,Rhinolophus sinicus
S573,Autumn,Mesa,Rhinolophus sinicus
S574,Autumn,Mesa,Rhinolophus sinicus
S575,Autumn,Mesa,Rhinolophus sinicus
S576,Autumn,Mesa,Rhinolophus pusillus
S577,Autumn,Mesa,Rhinolophus pusillus
S578,Autumn,Mesa,Rhinolophus pusillus
S579,Autumn,Mesa,Rhinolophus pusillus
S580,Autumn,Mesa,Rhinolophus pusillus
S581,Autumn,Mesa,Rhinolophus pusillus
S582,Autumn,Mesa,Rhinolophus pusillus
S583,Autumn,Mesa,Rhinolophus pusillus
S584,Autumn,Mesa,Rhinolophus pusillus
S585,Autumn,Mesa,Rhinolophus pusillus
S586,Autumn,Mesa,Rhinolophus pusillus
S587,Autumn,Mesa,Rhinolophus pusillus
S588,Autumn,Mesa,Rhinolophus pusillus
S589,Autumn,Mesa,Rhinolophus pusillus
S590,Autumn,Mesa,Rhinolophus pusillus
S591,Autumn,Mesa,Rhinolophus pusillus
S592,Autumn,Mesa,Rhinolophus pusillus
S593,Autumn,Mesa,Rhinolophus pusillus
S594,Autumn,Mesa,Rhinolophus pusillus
S595,Autumn,Mesa,Rhinolophus pusillus
