Sample group,Shannon index,Season,Year,latitude,longitude,SampleSize (log10),Terrain,Host genus,Bio2,Bio4,Bio5,Bio8,Bio17,Bio18,HFT,GMR,CHEQ,NDVI,FVC,PSD,GR,GLH,landuseName Forest land closed canopy,landuseName High coverage grassland,landuseName Low coverage grassland,landuseName Medium coverage grassland,landuseName Other construction land,landuseName Other forest land,landuseName Paddy field,landuseName Reservoirs and ponds,landuseName Rivers and canals,landuseName Rural residential area,landuseName Shrubland,landuseName Sparse woodland,landuseName Urban built up area
IPB24E-193,3.720437014,Winter,2024,24.36,99.04,0.301029996,Mountain,Rhinolophus,1.7743059460860402,-1.173906921,0.2320155858696665,0.5040016648973182,-1.286041371,1.4782626483819894,-0.396865369,2.010377093351041,-0.341113429,0.6743901839007359,0.0978419822088243,-0.390321879,2.034728930660319,-0.960864072,0,0,0,0,0,0,1,0,0,0,0,0,0
IPB24E-194,7.513252462,Winter,2024,24.23,98.43,1,Mountain,Rhinolophus,1.6111998786181685,-1.308504395,-1.39152227,-1.12099128,-1.310924361,1.2664184734506718,-1.349804906,1.829272191922499,1.6118346757678814,0.9429695409057024,-0.472480453,-0.363836417,1.590089389175299,-0.773786671,0,1,0,0,0,0,0,0,0,0,0,0,0
IPB24E-195,4.438133203,Winter,2024,23,101.96,0.301029996,Mountain,Rhinolophus,0.8868163892433008,-1.522519872,-1.729759324,-1.39393942,-1.037211476,0.4934735108634326,-0.367061247,1.7568302313510822,-0.19482147,0.1138060938683978,0.0978419822088243,-0.402962668,0.643464757872804,-0.612546281,0,1,0,0,0,0,0,0,0,0,0,0,0
IPB24E-196,6.655105726,Winter,2024,22.36,99.79,1.431363764,Mountain,Rhinolophus,2.18686902929201,-1.620930114,-0.342987405,-0.714742949,-1.509988277,1.0144956708296458,-1.480156057,1.3946204284939976,0.5035270494725355,1.1292263596092131,-0.472480453,-0.422826765,2.7313653304023155,0.5160125750070642,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24E-197,6.345684048,Winter,2024,22.36,99.79,1.414973348,Mountain,Rhinolophus,2.18686902929201,-1.620930114,-0.342987405,-0.714742949,-1.509988277,1.0144956708296458,-1.480156057,1.3946204284939976,0.5035270494725355,1.1292263596092131,-0.472480453,-0.422826765,2.7313653304023155,0.5160125750070642,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24E-198,5.00291008,Winter,2024,22.74,99.82,0.954242509,Mountain,Rhinolophus,2.201260758058856,-1.575082639,-0.681224458,-0.917866543,-1.485105287,1.0488487802779676,-1.078111178,1.6481672904939568,0.9110506928555936,0.1096953480762685,-0.472480453,-0.416807342,2.6680551888628226,0.0488422112742402,0,0,0,0,0,0,0,0,0,0,1,0,0
IPB24E-199,4.011856672,Winter,2024,22.49,99.69,0.301029996,Mountain,Rhinolophus,2.2972058083942133,-1.537104147,0.0967207645124681,-0.200585065,-1.634403225,1.10037844445045,-0.794087081,1.430841408779706,-0.140325065,0.8253476592166671,0.0978419822088243,-0.359020878,2.5218004991676124,0.6131924015937554,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24E-200,6.066478777,Winter,2024,22.45,99.69,1.380211242,Mountain,Rhinolophus,2.3115975371610595,-1.531501495,0.130544469851768,-0.194236929,-1.634403225,1.0660253350021285,-1.455580589,1.430841408779706,0.0227283057567027,0.5187539096422652,-0.472480453,-0.35962282,2.5300535075912625,0.6490846004627112,0,0,0,0,0,0,0,0,0,0,0,1,0
IPB24G-202,6.67033743,Winter,2024,25.12,98.41,1.380211242,Mountain,Rhinolophus,1.3137706255469666,-1.13020144,-2.034172672,-1.520891476,-0.912796528,1.0431232620365805,-1.432244023,1.220759723122597,2.2719547897629893,1.1292263596092131,-0.472480453,-0.372865552,0.9561253983070506,-0.00627684,0,0,0,0,0,0,0,0,0,0,0,1,0
IPB24G-203,7.773284766,Winter,2024,25.12,98.41,1.380211242,Mountain,Rhinolophus,1.3137706255469666,-1.13020144,-2.034172672,-1.520891476,-0.912796528,1.0431232620365805,-1.432244023,1.220759723122597,2.2719547897629893,1.1292263596092131,-0.472480453,-0.372865552,0.9561253983070506,-0.00627684,0,0,0,0,0,0,0,0,0,0,0,1,0
IPB24G-204,6.267172582,Winter,2024,25.12,98.41,1.380211242,Mountain,Rhinolophus,1.3137706255469666,-1.13020144,-2.034172672,-1.520891476,-0.912796528,1.0431232620365805,-1.432244023,1.220759723122597,2.2719547897629893,1.1292263596092131,-0.472480453,-0.372865552,0.9561253983070506,-0.00627684,0,0,0,0,0,0,0,0,0,0,0,1,0
IPB24G-206,6.022320044,Winter,2024,21.63,100.24,1.176091259,Mountain,Rhinolophus,1.5248495060170917,-1.75522203,-0.241516289,-0.606833016,-1.286041371,0.1842955258285369,-1.266702785,1.3946204284939976,0.5788811234705996,0.7820441269533346,0.0978419822088243,-0.418613169,3.886618359726231,0.3338663632836744,0,0,0,0,0,1,0,0,0,0,0,0,0
IPB24G-207,5.062086647,Summer,2024,25.47,105.02,0.301029996,Mountain,Murina,-0.010267845,-0.553192235,-1.763583029,-1.35585365,-1.012328487,0.2415507082424065,-1.020606722,0.8150847439226624,0.5807794282723577,0.8905683097353602,-0.472480453,-0.348787858,0.1891079135432703,0.1492526313758241,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-209,6.825180744,Summer,2024,25.84,105.26,1.278753601,Mountain,Rhinolophus,-0.245333132,-0.375902131,-1.39152227,-0.974995959,-0.962562508,0.1442168981388282,-0.068054634,0.706421803065537,-0.566156561,0.2668106594724238,-1.042802888,-0.346380089,-0.165948356,0.1972636553338934,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-210,4.468426198,Summer,2024,25.91,105.17,0.301029996,Mountain,Rhinolophus,-0.163780386,-0.352510131,-0.850342985,-0.467185449,-1.012328487,0.0869617157249586,-0.407850199,0.706421803065537,-0.416733491,1.1292263596092131,0.0978419822088243,-0.35179757,-0.223433854,0.1398885993628929,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-211,4.113032199,Summer,2024,25.79,104.96,0.301029996,Mountain,Rhinolophus,-0.000673743,-0.482125091,-1.594464502,-1.235248207,-1.111860445,0.2186486352768586,0.9020344696636922,0.7426427833512455,-0.936137415,-0.739360248,0.0978419822088243,-0.237428527,-0.052692342,0.6600516246292426,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24G-212,4.472831057,Summer,2024,25.69,102.37,0.301029996,Mountain,Rhinolophus,1.366540489581786,-1.113573879,-2.33858602,-2.276259485,-1.684169204,-0.789042575,-1.080104898,0.8875267044940792,-0.61569661,0.2543370518680551,0.0978419822088243,-0.399351014,-0.036466826,-0.069407456,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-213,5.712837366,Summer,2024,26.44,102.49,0.301029996,Mountain,Rhinolophus,1.5440388614856535,-0.986019997,-1.32387486,-1.260639228,-1.982765078,-0.588649437,-1.090237225,0.8513057242083708,-0.286676318,-0.306902239,-0.472480453,-0.386710225,0.1085383739290034,-0.799160654,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-214,5.942995334,Summer,2024,26.67,102.18,0.77815125,Mountain,Rhinolophus,1.5200524549845271,-1.035494962,-1.797406734,-1.698625192,-1.85835013,-0.411158371,-1.304111659,0.8875267044940792,-0.442601962,0.5697243588691893,-0.472480453,-0.396341302,-0.517953592,-0.256421382,0,0,0,0,0,0,0,0,0,0,0,1,0
