Sample group,Shannon index,Season,Year,SampleSize (log10),latitude,longitude,Terrain,Host genus,Annual Mean Temperature (Bio1),Mean Diurnal Range (Mean of monthly max temp - min temp) (Bio2),Isothermality (BIO2/BIO7) (x100) (Bio3),Temperature Seasonality (standard deviation x100) (Bio4),Max Temperature of Warmest Month (Bio5),Min Temperature of Coldest Month (Bio6),Temperature Annual Range (BIO5-BIO6) (Bio7),Mean Temperature of Wettest Quarter (Bio8),Mean Temperature of Driest Quarter (Bio9),Mean Temperature of Warmest Quarter (Bio10),Mean Temperature of Coldest Quarter (Bio11),Annual Precipitation (Bio12),Precipitation of Wettest Month (Bio13),Precipitation of Driest Month (Bio14),Precipitation Seasonality (Coefficient of Variation) (Bio15),Precipitation of Wettest Quarter (Bio16),Precipitation of Driest Quarter (Bio17),Precipitation of Warmest Quarter (Bio18),Precipitation of Coldest Quarter (Bio19),Global Mammal Richness (GMR),Global Railway (GR),Global Linear Hydrography (GLH),Human Footprint (HFT),Fractional Vegetation Cover (FVC),Normalized Difference Vegetation Index (NDVI),China GDP Spatial Distribution (GDP),China High-Resolution Ecological Environment Quality (CHEQ),China Population Spatial Distribution (PSD),Digital Elevation Model (DEM),landuseName Forest land closed canopy,landuseName High coverage grassland,landuseName Low coverage grassland,landuseName Medium coverage grassland,landuseName Other construction land,landuseName Other forest land,landuseName Paddy field,landuseName Reservoirs and ponds,landuseName Rivers and canals,landuseName Rural residential area,landuseName Shrubland,landuseName Sparse woodland,landuseName Urban built up area
IPB24E-198,5.00291008,Winter,2024,0.954242509,22.74,99.82,Mountain,Rhinolophus,18.1875,12.375,52.436443,356.8812,27.9,4.3,23.599998,21.666668,14.583334,21.666668,13.183333,1485,302,14,86.43074,815,43,815,54,114,2.090404011,0.461796934,12.384061,2,0.90091014,122,0.6916136,44,1652.125,0,0,0,0,0,0,0,0,0,0,1,0,0
IPB24E-199,4.011856672,Winter,2024,0.301029996,22.49,99.69,Mountain,Rhinolophus,20.145834,12.541667,52.040108,364.24554,30.2,6.1,24.1,23.55,16.466667,23.55,14.966666,1512,301,11,86.610916,824,37,824,46,108,2.002505936,0.705087626,16.819818,3,0.97046554,499,0.5029502,140,1152.0625,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24E-200,6.066478777,Winter,2024,1.380211242,22.45,99.69,Mountain,Rhinolophus,20.158333,12.566667,51.928375,365.33194,30.3,6.1,24.199999,23.566668,16.466667,23.566668,14.966666,1505,298,11,86.45075,818,37,818,46,108,2.007465938,0.72056071,6.4889183,2,0.9406672,495,0.5322092,139,1155.75,0,0,0,0,0,0,0,0,0,0,0,1,0
IPB24G-202,6.67033743,Winter,2024,1.380211242,25.12,98.41,Mountain,Rhinolophus,15.525,10.833333,47.723938,443.1473,23.9,1.2,22.699999,20.083334,9.400001,20.083334,9.400001,1506,299,15,80.984276,814,66,814,66,102.2,1.061545836,0.438035177,6.853378,2,1,516,0.9358201,117,1754.4375,0,0,0,0,0,0,0,0,0,0,0,1,0
IPB24G-203,7.773284766,Winter,2024,1.380211242,25.12,98.41,Mountain,Rhinolophus,15.525,10.833333,47.723938,443.1473,23.9,1.2,22.699999,20.083334,9.400001,20.083334,9.400001,1506,299,15,80.984276,814,66,814,66,102.2,1.061545836,0.438035177,6.853378,2,1,516,0.9358201,117,1754.4375,0,0,0,0,0,0,0,0,0,0,0,1,0
IPB24G-204,6.267172582,Winter,2024,1.380211242,25.12,98.41,Mountain,Rhinolophus,15.525,10.833333,47.723938,443.1473,23.9,1.2,22.699999,20.083334,9.400001,20.083334,9.400001,1506,299,15,80.984276,814,66,814,66,102.2,1.061545836,0.438035177,6.853378,2,1,516,0.9358201,117,1754.4375,0,0,0,0,0,0,0,0,0,0,0,1,0
IPB24G-206,6.022320044,Winter,2024,1.176091259,21.63,100.24,Mountain,Rhinolophus,19.875,11.2,51.612904,321.9507,29.2,7.5,21.7,22.483334,16.766666,22.85,15.316667,1521,306,13,84.115456,801,51,664,57,107,2.822752199,0.584670505,9.4387245,3,0.9662568,189,0.63200766,41,1317.6875,0,0,0,0,0,1,0,0,0,0,0,0,0
IPB24G-207,5.062086647,Summer,2024,0.301029996,25.47,105.02,Mountain,Murina,14.391666,8.533334,36.78161,555.0341,24.7,1.5,23.2,20.516666,6.85,20.516666,6.85,1265,249,19,80.54323,674,62,674,62,91,0.600573538,0.505083746,13.282139,2,0.97680444,647,0.6323483,157,1690,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-209,6.825180744,Summer,2024,1.278753601,25.84,105.26,Mountain,Rhinolophus,14.954166,8.125,34.138657,589.4121,25.8,2,23.8,21.516666,6.983333,21.516666,6.983333,1261,250,20,78.712814,657,64,657,64,88,0.387187132,0.525781241,28.158657,1,0.91618043,610,0.42653716,161,1534.75,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-210,4.468426198,Summer,2024,0.301029996,25.91,105.17,Mountain,Rhinolophus,16.266666,8.266666,34.30152,593.948,27.4,3.3,24.1,22.85,8.233334,22.85,8.233334,1235,248,19,79.36305,647,62,647,62,88,0.352638738,0.501046923,22.851887,3,1,577,0.45335028,152,1226,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-211,4.113032199,Summer,2024,0.301029996,25.79,104.96,Mountain,Rhinolophus,14.55,8.55,36.075947,568.8146,25.2,1.5,23.7,20.833334,6.8166666,20.833334,6.8166666,1253,254,18,81.70774,670,58,670,58,89,0.455253227,0.725288581,43.30906,3,0.81838906,1410,0.3601462,342,1620.6875,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24G-212,4.472831057,Summer,2024,0.301029996,25.69,102.37,Mountain,Rhinolophus,13.429167,10.925,46.888412,446.37152,23,-0.3,23.3,18.1,7.4,18.1,7.4,877,181,11,86.999565,494,35,494,35,93,0.465004652,0.410819644,12.352924,3,0.9149681,335,0.41764748,73,2292.9375,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-213,5.712837366,Summer,2024,0.301029996,26.44,102.49,Mountain,Rhinolophus,15.741667,11.233334,46.41873,471.10526,26,1.8,24.2,20.766666,9.466666,20.766666,9.466666,891,195,7,95.69637,529,23,529,23,92,0.552151792,0.096223913,12.194682,2,0.86042035,382,0.4766883,94,1909.25,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-214,5.942995334,Summer,2024,0.77815125,26.67,102.18,Mountain,Rhinolophus,14.629167,11.191667,46.827057,461.51166,24.6,0.7,23.9,19.616667,8.5,19.616667,8.5,941,208,8,95.425476,560,28,560,28,93,0.175634376,0.330198164,8.85449,2,0.9456211,355,0.44870833,78,2068.9375,0,0,0,0,0,0,0,0,0,0,0,1,0
