Cluster_ID,host
Cluster1054,Eptesicus serotinus
Cluster1064,Eptesicus serotinus
Cluster1068,Eptesicus serotinus
Cluster1070,Eptesicus serotinus
Cluster1088,Eptesicus serotinus
Cluster1126,Eptesicus serotinus
Cluster1128,Eptesicus serotinus
Cluster1142,Eptesicus serotinus
Cluster1143,Eptesicus serotinus
Cluster1171,Eptesicus serotinus
Cluster1192,Eptesicus serotinus
Cluster1208,Eptesicus serotinus
Cluster1217,Eptesicus serotinus
Cluster1243,Eptesicus serotinus
Cluster1247,Eptesicus serotinus
Cluster1265,Eptesicus serotinus
Cluster1302,Eptesicus serotinus
Cluster1339,Eptesicus serotinus
Cluster1360,Eptesicus serotinus
Cluster1362,Eptesicus serotinus
Cluster1431,Eptesicus serotinus
Cluster1454,Eptesicus serotinus
Cluster1498,Eptesicus serotinus
Cluster1574,Eptesicus serotinus
Cluster1583,Eptesicus serotinus
Cluster1598,Eptesicus serotinus
Cluster1629,Eptesicus serotinus
Cluster1631,Eptesicus serotinus
Cluster1684,Eptesicus serotinus
Cluster1706,Eptesicus serotinus
Cluster1710,Eptesicus serotinus
Cluster1751,Eptesicus serotinus
Cluster1759,Eptesicus serotinus
Cluster1777,Eptesicus serotinus
Cluster1797,Eptesicus serotinus
Cluster1837,Eptesicus serotinus
Cluster1842,Eptesicus serotinus
Cluster1873,Eptesicus serotinus
Cluster1892,Eptesicus serotinus
Cluster1903,Eptesicus serotinus
Cluster2002,Eptesicus serotinus
Cluster2009,Eptesicus serotinus
Cluster2018,Eptesicus serotinus
Cluster2069,Eptesicus serotinus
Cluster2079,Eptesicus serotinus
Cluster2092,Eptesicus serotinus
Cluster2136,Eptesicus serotinus
Cluster2151,Eptesicus serotinus
Cluster2153,Eptesicus serotinus
Cluster2165,Eptesicus serotinus
Cluster2168,Eptesicus serotinus
Cluster2175,Eptesicus serotinus
Cluster2205,Eptesicus serotinus
Cluster2209,Eptesicus serotinus
Cluster2254,Eptesicus serotinus
Cluster2256,Eptesicus serotinus
Cluster2271,Eptesicus serotinus
Cluster2288,Eptesicus serotinus
Cluster2316,Eptesicus serotinus
Cluster2337,Eptesicus serotinus
Cluster2394,Eptesicus serotinus
Cluster2420,Eptesicus serotinus
Cluster2489,Eptesicus serotinus
Cluster2556,Eptesicus serotinus
Cluster2583,Eptesicus serotinus
Cluster2594,Eptesicus serotinus
Cluster2608,Eptesicus serotinus
Cluster2669,Eptesicus serotinus
Cluster2680,Eptesicus serotinus
Cluster2681,Eptesicus serotinus
Cluster2704,Eptesicus serotinus
Cluster2745,Eptesicus serotinus
Cluster2762,Eptesicus serotinus
Cluster2766,Eptesicus serotinus
Cluster2794,Eptesicus serotinus
Cluster2804,Eptesicus serotinus
Cluster2898,Eptesicus serotinus
Cluster2933,Eptesicus serotinus
Cluster2989,Eptesicus serotinus
Cluster3034,Eptesicus serotinus
Cluster3040,Eptesicus serotinus
Cluster3041,Eptesicus serotinus
Cluster3043,Eptesicus serotinus
Cluster3048,Eptesicus serotinus
Cluster3073,Eptesicus serotinus
Cluster3080,Eptesicus serotinus
Cluster3128,Eptesicus serotinus
Cluster3156,Eptesicus serotinus
Cluster3172,Eptesicus serotinus
Cluster3173,Eptesicus serotinus
Cluster3251,Eptesicus serotinus
Cluster3295,Eptesicus serotinus
Cluster3325,Eptesicus serotinus
Cluster3327,Eptesicus serotinus
Cluster3388,Eptesicus serotinus
Cluster3393,Eptesicus serotinus
Cluster3406,Eptesicus serotinus
Cluster3431,Eptesicus serotinus
Cluster3440,Eptesicus serotinus
Cluster3445,Eptesicus serotinus
Cluster3462,Eptesicus serotinus
Cluster3511,Eptesicus serotinus
Cluster3531,Eptesicus serotinus
Cluster3548,Eptesicus serotinus
Cluster3558,Eptesicus serotinus
Cluster3594,Eptesicus serotinus
Cluster3670,Eptesicus serotinus
Cluster3693,Eptesicus serotinus
Cluster3720,Eptesicus serotinus
Cluster3735,Eptesicus serotinus
Cluster3775,Eptesicus serotinus
Cluster3776,Eptesicus serotinus
Cluster3781,Eptesicus serotinus
Cluster3824,Eptesicus serotinus
Cluster3848,Eptesicus serotinus
Cluster3877,Eptesicus serotinus
Cluster3911,Eptesicus serotinus
Cluster3936,Eptesicus serotinus
Cluster3951,Eptesicus serotinus
Cluster3969,Eptesicus serotinus
Cluster3995,Eptesicus serotinus
Cluster4051,Eptesicus serotinus
Cluster4065,Eptesicus serotinus
Cluster4072,Eptesicus serotinus
Cluster4097,Eptesicus serotinus
Cluster4114,Eptesicus serotinus
Cluster4141,Eptesicus serotinus
Cluster4143,Eptesicus serotinus
Cluster4147,Eptesicus serotinus
Cluster4151,Eptesicus serotinus
Cluster4190,Eptesicus serotinus
Cluster4194,Eptesicus serotinus
Cluster4210,Eptesicus serotinus
Cluster4257,Eptesicus serotinus
Cluster4261,Eptesicus serotinus
Cluster4270,Eptesicus serotinus
Cluster4277,Eptesicus serotinus
Cluster4281,Eptesicus serotinus
Cluster4289,Eptesicus serotinus
Cluster4290,Eptesicus serotinus
Cluster4324,Eptesicus serotinus
Cluster4352,Eptesicus serotinus
Cluster4387,Eptesicus serotinus
Cluster4440,Eptesicus serotinus
Cluster4468,Eptesicus serotinus
Cluster4470,Eptesicus serotinus
Cluster4474,Eptesicus serotinus
Cluster4536,Eptesicus serotinus
Cluster4579,Eptesicus serotinus
Cluster4588,Eptesicus serotinus
Cluster4605,Eptesicus serotinus
Cluster4627,Eptesicus serotinus
Cluster4639,Eptesicus serotinus
Cluster4656,Eptesicus serotinus
Cluster4698,Eptesicus serotinus
Cluster4715,Eptesicus serotinus
Cluster4776,Eptesicus serotinus
Cluster4910,Eptesicus serotinus
Cluster4924,Eptesicus serotinus
Cluster4927,Eptesicus serotinus
Cluster4962,Eptesicus serotinus
Cluster5010,Eptesicus serotinus
Cluster5063,Eptesicus serotinus
Cluster5105,Eptesicus serotinus
Cluster5129,Eptesicus serotinus
Cluster5153,Eptesicus serotinus
