Host,Viral Diversity,Zoonotic Species Count,Zoonotic Sequence Number,Viral Sequence Count,VD_norm,ZSC_norm,ZSN_corrected,ZSN_corrected_norm,VS_ln,VS_ln_norm,EWM_CRS,EWM_rank
Myotis fimbriatus,4,0,0,28,0.25,0.0,0.0,0.0,3.367296,0.43037,0.097217,87
Hipposideros lekaguli,4,0,0,23,0.25,0.0,0.0,0.0,3.178054,0.399914,0.093976,88
Myotis davidii,4,0,0,19,0.25,0.0,0.0,0.0,2.995732,0.370571,0.090853,89
Myotis horsfieldii,4,0,0,16,0.25,0.0,0.0,0.0,2.833213,0.344416,0.08807,90
Scotophilus heathii,4,0,0,14,0.25,0.0,0.0,0.0,2.70805,0.324273,0.085926,91
Myotis petax,4,0,0,11,0.25,0.0,0.0,0.0,2.484907,0.288361,0.082104,92
Rhinolophus rhodesiae,4,0,0,11,0.25,0.0,0.0,0.0,2.484907,0.288361,0.082104,93
Micropteropus pusillus,2,0,0,66,0.083333,0.0,0.0,0.0,4.204693,0.565138,0.077281,94
Miniopterus magnatus,2,0,0,62,0.083333,0.0,0.0,0.0,4.143135,0.555231,0.076226,95
Myotis chinensis,3,0,0,21,0.166667,0.0,0.0,0.0,3.091042,0.38591,0.075347,96
Artibeus jamaicensis,4,0,0,7,0.25,0.0,0.0,0.0,2.079442,0.223106,0.07516,97
Tylonycteris robustula,4,0,0,6,0.25,0.0,0.0,0.0,1.94591,0.201616,0.072873,98
Mops pusillus,2,0,0,47,0.083333,0.0,0.0,0.0,3.871201,0.511467,0.071569,99
Triaenops persicus,2,0,0,47,0.083333,0.0,0.0,0.0,3.871201,0.511467,0.071569,100
Miniopterus fuscus,3,0,0,14,0.166667,0.0,0.0,0.0,2.70805,0.324273,0.068787,101
Chaerephon pusillus,2,0,0,37,0.083333,0.0,0.0,0.0,3.637586,0.473869,0.067568,102
Cynopterus brachyotis,2,0,0,37,0.083333,0.0,0.0,0.0,3.637586,0.473869,0.067568,103
Epomops franqueti,2,0,0,36,0.083333,0.0,0.0,0.0,3.610918,0.469578,0.067111,104
Scotophilus leucogaster,3,0,0,11,0.166667,0.0,0.0,0.0,2.484907,0.288361,0.064965,105
Myotis laniger,3,0,0,8,0.166667,0.0,0.0,0.0,2.197225,0.242062,0.060038,106
Miniopterus natalensis,1,0,0,52,0.0,0.0,0.0,0.0,3.970292,0.527414,0.056127,107
Megaloglossus woermanni,2,0,0,17,0.083333,0.0,0.0,0.0,2.890372,0.353615,0.054771,108
Myotis macropus,3,0,0,5,0.166667,0.0,0.0,0.0,1.791759,0.176807,0.053094,109
Myotis dasycneme,2,0,0,14,0.083333,0.0,0.0,0.0,2.70805,0.324273,0.051648,110
Myotis siligorensis,2,0,0,13,0.083333,0.0,0.0,0.0,2.639057,0.313169,0.050466,111
Eptesicus fuscus,1,0,0,36,0.0,0.0,0.0,0.0,3.610918,0.469578,0.049972,112
Pipistrellus coromandra,3,0,0,4,0.166667,0.0,0.0,0.0,1.609438,0.147465,0.049971,113
Nyctalus plancyi,2,0,0,10,0.083333,0.0,0.0,0.0,2.397895,0.274357,0.046336,114
Pteropus vampyrus,3,0,0,3,0.166667,0.0,0.0,0.0,1.386294,0.111553,0.04615,115
Hypsignathus monstrosus,2,0,0,9,0.083333,0.0,0.0,0.0,2.302585,0.259018,0.044704,116
Myotis lucifugus,1,0,0,26,0.0,0.0,0.0,0.0,3.295837,0.418869,0.044576,117
Otomops martiensseni,1,0,0,26,0.0,0.0,0.0,0.0,3.295837,0.418869,0.044576,118
