virus_family,Aselliscus,Cynopterus,Eptesicus,Hipposideros,Megaderma,Miniopterus,Murina,Myotis,Nyctalus,Pipistrellus,Rhinolophus,Scotophilus,Tylonycteris
Hepeviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.248546509517694,2.0478307441822845,0.0,0.0
Iflaviridae,3.68182188098433,0.0,3.3083153834194188,4.074385175019513,0.0,5.5174044245941625,0.0,4.291433943493096,4.984621377704317,6.817582815220505,4.561176889381144,0.0,6.185908049871432
Luteoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.035821457782407,0.0,0.0
Narnaviridae,0.0,0.0,2.4188841162373524,0.0,0.0,0.0,0.0,0.0,1.8149665104275756,0.9945541650987153,2.9103737581742313,0.0,0.0
Nodaviridae,0.0,0.0,0.0,4.568169554153126,0.0,0.0,0.0,2.6929577213172453,0.0,2.899031246548963,3.503668089041227,0.0,4.073497781650261
Paramyxoviridae,2.73971277222079,0.0,3.3534212868625795,3.2835724223095086,0.0,3.041857902127097,0.0,2.8113864310477603,0.0,0.7993008935937564,3.365071202262293,0.0,0.0
Partitiviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.798414755260718,2.438744429534817,2.662356506256429,3.2659557112858364,0.0,0.0
Permutotetraviridae,0.0,0.0,2.9711721592949347,0.0,0.0,0.0,0.0,4.004988735568792,4.266537799381965,4.670066475605591,4.270748514630721,0.0,4.8387719117837005
Phasmaviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.896425388451462,1.1743889863016037,0.0,0.0
Phenuiviridae,0.0,0.0,2.302189993115125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Picobirnaviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3267756498587007,0.0,0.0,2.1377243162405533,0.0,0.0
Picornaviridae,0.0,0.0,5.022914453519433,3.499134423011849,0.0,4.236500718370129,0.0,4.290713874970782,5.030267693283161,5.061856625569869,4.6438316224348135,0.0,5.786396126021922
Polycipiviridae,0.0,0.0,3.4010143059566214,2.792841192175531,0.0,0.0,0.0,4.019455559888027,3.5534404187676722,4.186789735018111,4.177211061541498,0.0,4.117442058625365
Spinareoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.461820834116519,2.398127632669623,0.0,0.0
Rhabdoviridae,0.0,0.0,1.9946367586003533,0.0,0.0,0.0,0.0,1.7026692507991636,0.0,0.0,1.3440670953564824,0.0,0.0
Solemoviridae,0.0,0.0,2.0528277499350116,0.0,0.0,0.0,0.0,3.1483399561728467,0.0,2.211843823849381,4.1008495308490955,0.0,3.1983836039291593
Solinviviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8868487101326303,0.0,0.9478897196185986,2.07385814922726,0.0,2.2331128828839293
Tombusviridae,0.0,0.0,4.391086062202375,2.489242052066938,0.0,0.0,0.0,3.8755065349542086,0.0,2.8441700024053733,4.625455755520086,0.0,0.0
Tymoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.188404704220616,0.0,1.0611830610967428,1.2380081087104065,0.0,0.0
Virgaviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7925796771827298,0.0,0.0,0.0
