gbifID,Province_standard,Species,Genus,Family,decimalLongitude,decimalLatitude,Province_assignment_method,basisOfRecord,coordinateUncertaintyInMeters
859439961,Yunnan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859439960,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439957,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439956,Yunnan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859439955,Sichuan,Rhinolophus cornutus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439951,Yunnan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859439950,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439947,Yunnan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859439946,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439944,Yunnan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859439943,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439941,Yunnan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859439940,Sichuan,Rhinolophus cornutus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439938,Yunnan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859439937,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439935,Yunnan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859439934,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439931,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439927,Sichuan,Rhinolophus cornutus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439922,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439917,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439912,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439907,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439902,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439898,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439894,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439890,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439886,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439882,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439877,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439876,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439872,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439871,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439867,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439862,Sichuan,Rhinolophus cornutus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439857,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439852,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859439847,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
